fecha;kgs_netos
2022-06-01;114159
2022-06-01;28663
2022-05-30;58774
2022-05-30;115049
2022-05-30;115024
2022-05-30;312166
2022-05-30;206281
2022-05-27;1045811
2022-05-27;62226
2022-05-27;61180
2022-05-27;59240
2022-05-27;27939
2022-05-27;90491
2022-05-27;291026
2022-05-27;110867
2022-05-27;61480
2022-05-27;291050
2022-05-27;117040
2022-05-26;97243
2022-05-26;90713
2022-05-26;308750
2022-05-26;106780
2022-05-26;223386
2022-05-26;204180
2022-05-26;322700
2022-05-26;307352
2022-05-26;67920
2022-05-26;299779
2022-05-23;290740
2022-05-23;162616
2022-05-23;290788
2022-05-23;306576
2022-05-20;157099
2022-05-20;320756
2022-05-19;305024
2022-05-19;305780
2022-05-19;157107
2022-05-19;313175
2022-05-19;150340
2022-05-19;30020
2022-05-19;60967
2022-05-19;35598
2022-05-19;296780
2022-05-17;64413
2022-05-17;58605
2022-05-17;35500
2022-05-17;66340
2022-05-17;35900
2022-05-17;55947
2022-05-17;30720
2022-05-17;30620
2022-05-17;25614
2022-05-16;156740
2022-05-16;29540
2022-05-16;29720
2022-05-16;56088
2022-05-16;72180
2022-05-16;29480
2022-05-16;61800
2022-05-16;59140
2022-05-16;60920
2022-05-16;66600
2022-05-16;65420
2022-05-16;29080
2022-05-16;29280
2022-05-16;244100
2022-05-16;273469
2022-05-16;103100
2022-05-13;72580
2022-05-13;58135
2022-05-13;58380
2022-05-13;29117
2022-05-13;63207
2022-05-13;32466
2022-05-13;64064
2022-05-13;74120
2022-05-13;75580
2022-05-13;28940
2022-05-13;65780
2022-05-13;26744
2022-05-13;29253
2022-05-13;56496
2022-05-13;55085
2022-05-13;34660
2022-05-13;34180
2022-05-13;58940
2022-05-13;89820
2022-05-13;97220
2022-05-13;67040
2022-05-13;270380
2022-05-13;315810
2022-05-13;241800
2022-05-11;295733
2022-05-11;61340
2022-05-11;61760
2022-05-11;61360
2022-05-11;275400
2022-05-11;316658
2022-05-09;204980
2022-05-09;213700
2022-05-06;73920
2022-05-06;28380
2022-05-06;37140
2022-05-06;34180
2022-05-06;62480
2022-05-06;36900
2022-05-06;61220
2022-05-06;66640
2022-05-06;69100
2022-05-06;92940
2022-05-06;72800
2022-05-06;259200
2022-05-06;192079
2022-05-04;215400
2022-05-04;96873
2022-05-04;30080
2022-05-04;96400
2022-05-04;68220
2022-05-04;68304
2022-05-04;28700
2022-05-04;60505
2022-05-04;58200
2022-05-04;252998
2022-05-04;270620
2022-05-04;328814
2022-05-04;213020
2022-05-02;100280
2022-05-02;89800
2022-05-02;62080
2022-05-02;70020
2022-05-02;86355
2022-05-02;249880
2022-04-29;429500
2022-04-29;58839
